Gene,Reaction1,Reaction2,Reaction3,Reaction4,Reaction5,Reaction6,Reaction7,Reaction8,Reaction9,Reaction10,Reaction11,Reaction12,Reaction13
Ampd3,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mat1a,Methionine and cysteine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Amy1,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a4,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a5,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aoc3,Beta-Alanine metabolism,"Glycine, serine, alanine, and threonine metabolism",Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Prdx3,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Prdx6,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Miscellaneous,Phenylalanine metabolism,Purine catabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  
Aox1,Drug metabolism,Tryptophan metabolism,Vitamin B6 metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fabp4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aprt,Nucleotide salvage pathway,Purine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aqp1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aqp2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aqp3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aqp4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aqp5,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aqp7,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aqp8,"Transport, extracellular","Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Arg1,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Arg2,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Arsb,Chondroitin sulfate degradation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Arsa,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Asah1,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ass1,Alanine and aspartate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp1a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp1b1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp1b2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp1b3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp2b2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp4a,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp4b,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5a1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5b,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5c1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5pb,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5g1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5j,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5k,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v1a,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v1b2,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v0d1,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v1e1,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v0e,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v0a1,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp8a1,"Transport, extracellular","Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp10a,"Transport, extracellular","Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v0c,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc7a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc7a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc7a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Auh,Tryptophan metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Baat,Bile acid synthesis,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bcat1,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bcat2,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bche,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bckdha,Miscellaneous,Propanoate metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bckdhb,Miscellaneous,Propanoate metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Glb1,Chondroitin sulfate degradation,Galactose metabolism,Glycosphingolipid metabolism,Keratan sulfate degradation,Miscellaneous,N-glycan degradation,Sphingolipid metabolism,  ,  ,  ,  ,  ,  
Bhmt,"Glycine, serine, alanine, and threonine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fabp7,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bpgm,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bsg,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Car8,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Car1,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Car2,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Car3,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Car4,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Car5a,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Car6,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Car7,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cat,Glycolysis/gluconeogenesis,Miscellaneous,ROS detoxification,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cbr1,Arachidonic acid metabolism,Eicosanoid metabolism,Leukotriene metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cbs,Methionine and cysteine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cd36,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cd38,NAD metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Entpd1,Nucleotide interconversion,Purine catabolism,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Entpd2,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Entpd6,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Entpd5,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cdo1,Taurine and hypotaurine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cel,Cholesterol metabolism,Glycerophospholipid metabolism,Miscellaneous,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  
Cftr,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ch25h,Bile acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chat,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chkb,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chka,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Elovl3,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ckb,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ckm,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ckmt1,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
-,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tpp1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cmas,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcc2,Drug metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cnp,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Comt,Phenylalanine metabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Coq7,Ubiquinone synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox4i1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox5a,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox5b,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox6a1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox6a2,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox6c,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox7a1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox7a2,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox7c,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cox8a,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cp,Miscellaneous,"Transport, endoplasmic reticular","Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cpox,Heme synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cpt1a,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cpt1b,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cpt2,Fatty acid oxidation,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Crat,Fatty acid oxidation,"Transport, endoplasmic reticular","Transport, mitochondrial","Transport, peroxisomal",  ,  ,  ,  ,  ,  ,  ,  ,  
Dpysl2,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cs,Citric acid cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ctbp1,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pcyt1a,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp11a1,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp11b2,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp17a1,Androgen and estrogen synthesis and metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp19a1,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Linoleate metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp1a1,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Linoleate metabolism,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp1a2,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Linoleate metabolism,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp1b1,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Linoleate metabolism,Steroid metabolism,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  
Cyp21a1,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp24a1,Vitamin D metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp2a4,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Cytochrome metabolism,Drug metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  
Cyp2a5,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Cytochrome metabolism,Drug metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  
Cyp2b10,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp2c29,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Cytochrome metabolism,Drug metabolism,Limonene and pinene degradation,Linoleate metabolism,Tryptophan metabolism,  ,  ,  ,  ,  ,  
Cyp2c38,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Cytochrome metabolism,Drug metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  
Cyp2c39,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Cytochrome metabolism,Drug metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  
Cyp2e1,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Cytochrome metabolism,Drug metabolism,Glycolysis/gluconeogenesis,Linoleate metabolism,Pyruvate metabolism,Steroid metabolism,  ,  ,  ,  ,  
Cyp2f2,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Cytochrome metabolism,Eicosanoid metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  
Cyp2j6,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp3a11,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Bile acid synthesis,Cytochrome metabolism,Drug metabolism,Linoleate metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  
Cyp3a13,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Bile acid synthesis,Cytochrome metabolism,Drug metabolism,Linoleate metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  
Cyp3a16,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Bile acid synthesis,Cytochrome metabolism,Drug metabolism,Linoleate metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  
Cyp27b1,Vitamin D metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp46a1,Bile acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp4a10,Cytochrome metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp4b1,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp51,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp7a1,Bile acid synthesis,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp7b1,Bile acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp8b1,Bile acid synthesis,"Transport, endoplasmic reticular","Transport, mitochondrial","Transport, peroxisomal",  ,  ,  ,  ,  ,  ,  ,  ,  
Dgka,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dao,Arginine and proline metabolism,D-alanine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc6a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dbh,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dbi,Fatty acid oxidation,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dbt,Miscellaneous,Propanoate metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Eci1,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dck,Nucleotide interconversion,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pcbd1,Tetrahydrobiopterin metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dct,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ddc,Histidine metabolism,Phenylalanine metabolism,Tryptophan metabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Degs1,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc29a2,"Transport, extracellular","Transport, mitochondrial","Transport, nuclear",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dgat1,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a1,"Transport, extracellular","Transport, mitochondrial","Transport, peroxisomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dhcr7,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dhfr,Folate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dio1,Phenylalanine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dio2,Phenylalanine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dld,Citric acid cycle,"Glycine, serine, alanine, and threonine metabolism",Glycolysis/gluconeogenesis,Lipoate metabolism,Lysine metabolism,Propanoate metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  
Dpep1,Leukotriene metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dpm1,N-glycan synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dpm2,N-glycan synthesis,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc26a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc26a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
