Reaction_ID,Reaction_name,Subsystem
3HKYNAKGAT,3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase,Tryptophan metabolism
3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,Tyrosine metabolism
3M4HDXPAC,3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase,Tyrosine metabolism
3MLDAt,3MLDA extracellular transport via diffusion,"Transport, extracellular"
3MOBt2im,3-methyl-2-oxobutanoate mitochondrial transport via proton symport,"Transport, mitochondrial"
3MOPt2im,3-Methyl-2-oxopentanoate mitochondrial transport via proton symport,"Transport, mitochondrial"
3MOX4HOXPGALDOX,3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase,Tyrosine metabolism
3MOX4HOXPGALDOX_NADP,3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase,Tyrosine metabolism
3MOXTYROX,3-Methoxytyramine:oxygen oxidoreductase (deaminating),Tyrosine metabolism
3SALAASPm,Cysteinesulfinate-aspartate mitochondrial shuttle,"Transport, mitochondrial"
3SALACBOXL_cho,3-Sulfino-L-alanine carboxy-lyase,Taurine and hypotaurine metabolism
3SALAOX,Cysteinesulfinic acid oxidase,Taurine and hypotaurine metabolism
3SALATAi,3-sulfino-alanine transaminase (irreversible),Methionine and cysteine metabolism
3SALATAim,"3-sulfino-alanine transaminase (irreversible), mitochondrial",Methionine and cysteine metabolism
3SPYRSP,3-sulfinopyruvate hydrolase (spotaneous reaction),Methionine and cysteine metabolism
3SPYRSPm,"3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial",Methionine and cysteine metabolism
41R1H2MAE12BOOX,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",Tyrosine metabolism
41R2A1H12BOOX,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",Tyrosine metabolism
42A12BOOX,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",Tyrosine metabolism
4ABUTtm,4 aminobutanoate mitochondrial transport via diffusion,"Transport, mitochondrial"
4HBZCOAFm,4 hydroxybenzoyl CoA formation,Ubiquinone synthesis
4HBZFm,4 hydroxybenzoate formation,Ubiquinone synthesis
4HDEBRISOQUINEte,Xenobiotic transport,"Transport, extracellular"
4HGLSDm,L 4 hydroxyglutamate semialdehyde dehydrogenase  mitochondrial,Arginine and proline metabolism
4HOXPACDOX_NADP,4HOXPACDOX LPAREN NADP RPAREN ,Tyrosine metabolism
4MOPt2im,4-methyl-2-oxopentanoate mitochondrial transport  via proton symport,"Transport, mitochondrial"
4MPTNLte,4-methylpentanal transport,"Transport, extracellular"
4MPTNLtm,4-methylpentanal transport (mitochondria),"Transport, mitochondrial"
4MTOLBUTAMIDEte,Xenobiotic transport,"Transport, extracellular"
4NPHSFte,Xenobiotic transport,"Transport, extracellular"
4NPHSULT,4-Nitrophenol Sulfotransferase,Cytochrome metabolism
4NPHte,Xenobiotic transport,"Transport, extracellular"
4PYRDX,4-Pyridoxal secretion,"Transport, extracellular"
5ADTSTSTERONEGLCte,Glucuronidated compound transport,"Transport, extracellular"
5ADTSTSTERONEGLCtr,Glucuronidated compound transport,"Transport, endoplasmic reticular"
5ADTSTSTERONESte,Sulfonated testosterone transport,"Transport, extracellular"
5ADTSTSTERONESULT,5alpha-Dihydrotestosterone sulfotransferase,Steroid metabolism
5ADTSTSTERONEte,5 alpha dihydrotesterone transport,"Transport, extracellular"
5ADTSTSTERONEtr,5 alpha dihydrotesterone intracellular transport,"Transport, endoplasmic reticular"
5AOPtm,5 Aminolevulinate mitochondrial transport,Heme synthesis
5DHFtl,"5-glutamyl-DHF transport, lysosomal","Transport, lysosomal"
5FTHFt2_1,5-Formyltetrahydrofolate Transport via Anion Exchange,"Transport, extracellular"
5HLTDL,5-Hydroxy-L-tryptophan decarboxy-lyase,Tryptophan metabolism
5HOMEPRAZOLEte,Xenobiotic transport,"Transport, extracellular"
5HOXINDACTO2OX,5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase,Tryptophan metabolism
5HOXINOXDA,5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing),Tryptophan metabolism
5HTRPVESSEC_1,5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven),"Transport, extracellular"
5MTHFt,5-Methyltetrahydrofolate transport via receptor binding and protolysis,"Transport, extracellular"
5MTHFt2_1,5-Methyltetrahydrofolate Transport via Anion Exchange,"Transport, extracellular"
5THFtl,"5-glutamyl-THF transport, lysosomal","Transport, lysosomal"
5THFtm,"5-glutamyl-THF transport,m mitochondrial","Transport, mitochondrial"
6DHFtl,"6-glutamyl-DHF transport, lysosomal","Transport, lysosomal"
6DHFtm,"6-glutamyl-DHF transport,m mitochondrial","Transport, mitochondrial"
6HTSTSTERONEte,Hydroxylated testosterone transport,"Transport, extracellular"
6HTSTSTERONEtr,Hydroxylated testosterone transport,"Transport, endoplasmic reticular"
6THFtl,"6-glutamyl-THF transport, lysosomal","Transport, lysosomal"
6THFtm,"6-glutamyl-THF transport,m mitochondrial","Transport, mitochondrial"
7DHCHSTEROLtr,Cholesterol precursor intracellular transport,"Transport, endoplasmic reticular"
7DHFtl,"7-glutamyl-DHF transport, lysosomal","Transport, lysosomal"
7DHFtm,"7-glutamyl-DHF transport,m mitochondrial","Transport, mitochondrial"
7THFtl,"7-glutamyl-THF transport, lysosomal","Transport, lysosomal"
7THFtm,"7-glutamyl-THF transport,m mitochondrial","Transport, mitochondrial"
A_MANASEly,"Alpha-mannosidase, lysosomal",N-glycan degradation
A4GALTc,Lactosylceramide 4-alpha-galactosyltransferase,Sphingolipid metabolism
A4GALTg,Lactosylceramide 4-alpha-galactosyltransferase,Sphingolipid metabolism
A4GNT1g,"Alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus",O-glycan metabolism
A4GNT2g,"Alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus",O-glycan metabolism
AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),"Glycine, serine, alanine, and threonine metabolism"
AACTtm,Aminoacetone transport (mitochondrial),"Transport, mitochondrial"
AASAD3m,"L-aminoadipate-semialdehyde dehydrogenase (NADH), mitochondrial",Lysine metabolism
AATA,2 aminoadipate transaminase,Lysine metabolism
ABO1g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",Blood group synthesis
ABO2g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",Blood group synthesis
ABO3g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",Blood group synthesis
ABO4g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",Blood group synthesis
ABO5g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",Blood group synthesis
ABO6g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",Blood group synthesis
ABO7g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",Blood group synthesis
ABO8g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",Blood group synthesis
ABO9g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",Blood group synthesis
ABTArm,"4-aminobutyrate transaminase, reversible (mitochondrial)",Glutamate metabolism
ABTD,L-arabinitol 4-dehydrogenase,Pentose phosphate pathway
ABTt,L arabinitol transport via passive diffusion,"Transport, extracellular"
ABUTt2rL,4-aminobutyrate reversible transport in via proton symport (lysosome),"Transport, lysosomal"
ABUTt4_2_r,ABUTt4 LPAREN 2 RPAREN r,"Transport, extracellular"
ACACT10m,Acetyl-CoA C-acyltransferase,"Valine, leucine, and isoleucine metabolism"
ACACT1m,Acetyl CoA C acetyltransferase  mitochondrial,Tryptophan metabolism
ACACT1x,Acetyl-CoA:acetyl-CoA C-acetyltransferase,Cholesterol metabolism
ACACt2m,Acetoacetate mitochondrial transport via H+ symport,"Transport, mitochondrial"
ACACT4p,Acetyl CoA C acetyltransferase  octanoyl CoA   peroxisomal,Fatty acid oxidation
ACACT5p,Acetyl CoA C acyltransferase  decanoyl CoA   peroxisomal,Fatty acid oxidation
ACACT6p,Acetyl CoA C acetyltransferase  dodecanoyl   peroxisomal,Fatty acid oxidation
ACACT7p,Acetyl CoA acyltransferase  tetradecanoyl CoA   peroxisomal,Fatty acid oxidation
ACACT8p,Acetyl CoA acyltransferase  hexadecanoyl CoA   peroxisomal,Fatty acid oxidation
ACACT9p,Acetyl CoA acyltransferase  tetracosanoyl CoA   peroxisomal,Fatty acid oxidation
ACACtx,"Acetoacetate transport via diffusion, glyoxysome","Transport, peroxisomal"
ACALDtm,Acetaldehyde mitochondrial diffusion,"Transport, mitochondrial"
ACALDtr,Acetaldehyde reversible transport (ER),"Transport, endoplasmic reticular"
ACALDtx,"Acetaldehyde transport via diffusion, glyoxysome","Transport, peroxisomal"
ACCOACrm,Acetyl Coa carboxylase  mitochondrial,Fatty acid oxidation
ACCOAgt,Acetyl-coa transport,"Transport, extracellular"
ACCOALm,Acetate-CoA ligase (AMP-forming),Propanoate metabolism
ACCOAtn,Acetyl CoA transport  nuclear,"Transport, nuclear"
ACCOAtr,Acetyl-coa transport,"Transport, endoplasmic reticular"
ACETONEt2,Acetone transport via proton symport,"Transport, extracellular"
ACETONEt2m,Acetone mitochondrial transport via proton symport,"Transport, mitochondrial"
ACGAGBSIDEtg,Acgagbside hs intracellular transport,"Transport, golgi apparatus"
ACGAGBSIDEtl,Acgagbside hs intracellular transport,"Transport, lysosomal"
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,Blood group intracellular transport,"Transport, extracellular"
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,Blood group intracellular transport,"Transport, golgi apparatus"
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,Blood group intracellular transport,"Transport, extracellular"
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,Blood group intracellular transport,"Transport, golgi apparatus"
ACGALK,N-acetylgalactosamine kinase,Aminosugar metabolism
ACGALK2,N-acetylgalactosamine kinase (ITP),Aminosugar metabolism
ACGALtlg,N-acetyl-galactosamine intracellular transport,"Transport, golgi apparatus"
ACGALtly,N-acetyl-galactosamine lysosomal efflux,"Transport, lysosomal"
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,Aminosugar metabolism
ACGAMK,N-acetylglucosamine kinase,Aminosugar metabolism
ACGAMPM,Phosphoacetylglucosamine mutase,Aminosugar metabolism
ACGAMtly,N-acetyl-glucosamine lysosomal efflux,"Transport, lysosomal"
ACGBGBSIDEtg,Acgbgbside hs intracellular transport,"Transport, golgi apparatus"
ACGBGBSIDEtl,Acgbgbside hs intracellular transport,"Transport, lysosomal"
ACGPID,N-acetylglucosaminylphosphatidylinositol deacetylase,Phosphatidylinositol phosphate metabolism
ACGSm,N acteylglutamate synthase  mitochondrial,Urea cycle
ACHEe,Acetylcholinesterase,Glycerophospholipid metabolism
ACHtn,"Acetylcholin transport, nuclear trhough pores","Transport, nuclear"
ACHVESSEC_1,Acetylcholine Secretion via Secretory Vesicle (ATP Driven),"Transport, extracellular"
ACITL,ATP-Citrate lyase,Citric acid cycle
ACN13ACNGALGBSIDEte,ACN13ACNGALGBSIDEte,"Transport, extracellular"
ACN13ACNGALGBSIDEtg,Acn13acngalgbside hs intracellular transport,"Transport, golgi apparatus"
ACN23ACNGALGBSIDEte,ACN23ACNGALGBSIDEte,"Transport, extracellular"
ACN23ACNGALGBSIDEtg,Acn23acngalgbside intracellular transport,"Transport, golgi apparatus"
ACNACNGAL14ACGLCGALGLUSIDEte,Blood group intracellular transport,"Transport, extracellular"
ACNACNGAL14ACGLCGALGLUSIDEtg,Blood group intracellular transport,"Transport, golgi apparatus"
ACNACNGALGBSIDEte,ACNACNGALGBSIDEte,"Transport, extracellular"
ACNACNGALGBSIDEtg,Acnacngalgbside hs intracellular transport,"Transport, golgi apparatus"
ACNAM9PL,N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating),Aminosugar metabolism
ACNAM9PL2,N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating),Aminosugar metabolism
ACNAMlt,N-acetylneuraminate transport into lysososme,"Transport, lysosomal"
ACNAMPH,N-Acetylneuraminate 9-phosphate phosphohydrolase,Aminosugar metabolism
ACNAMtn,N-acetylneuraminate nuclear import,"Transport, nuclear"
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,Blood group intracellular transport,"Transport, extracellular"
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,Blood group intracellular transport,"Transport, golgi apparatus"
ACNML,N-Acetylneuraminate lyase,Aminosugar metabolism
ACOAD10m,"2-methylacyl-coa dehydrogenase, trans-2-Methylbut-2-enoyl-CoA forming","Valine, leucine, and isoleucine metabolism"
ACOAD1fm,"Acyl-CoA dehydrogenase (butanoyl-CoA), mitochondrial",Butanoate metabolism
ACOAD8m,Isovaleryl-coa dehydrogenase,"Valine, leucine, and isoleucine metabolism"
ACOAD9m,"2-methylacyl-coa dehydrogenase, 2-Methylprop-2-enoyl-CoA forming","Valine, leucine, and isoleucine metabolism"
ACOAH,Acetyl-CoA hydrolase,Pyruvate metabolism
ACOAO7p,Acyl CoA oxidase  hexadecanoyl CoA   peroxisomal,Fatty acid oxidation
ACODA,Acetylornithine deacetylase,Urea cycle
ACONTm,Aconitate hydratase,Citric acid cycle
ACOX22x,"Acyl-Coenzyme A oxidase 2, branched chain",Bile acid synthesis
ACOX2x,"Acyl-Coenzyme A oxidase 2, branched chain",Bile acid synthesis
ACP1_FMN,Acid phosphatase (FMN),Vitamin B2 metabolism
ACRNtm,O acetylcarnintine transport into mitochondria via diffusion,"Transport, mitochondrial"
ACS2,Acetyl-CoA synthase (propionate),Propanoate metabolism
ACSm,Acetyl CoA synthetase,Glycolysis/gluconeogenesis
ACSRTNMT,S-Adenosyl-L-homocysteine:N-acetylserotonin O-methyltransferase,Tryptophan metabolism
ACt2m,Acetate mitochondrial transport via proton symport,"Transport, mitochondrial"
ACt2r,Acetate reversible transport via proton symport,"Transport, extracellular"
ACtg,"Acetate transport, Golgi apparatus","Transport, golgi apparatus"
ACTLMO,Acetol monooxygenase,Pyruvate metabolism
ACTNMO,Acetone monooxygenase,Pyruvate metabolism
ADA,Adenosine deaminase,Purine catabolism
ADAe,"Adenosine deaminase, extracellular",Purine catabolism
ADCim,"Acetoacetate decarboxylation (irreversible), mitochondrial",Propanoate metabolism
ADEt,Adenine transport via diffusion,"Transport, extracellular"
ADK1m,Adenylate kinase  mitochondrial,Nucleotide interconversion
ADK3,Adentylate kinase (GTP),Nucleotide interconversion
ADK3m,Adentylate kinase  GTP ,Nucleotide interconversion
ADKd,Adenylate kinase (d form),Nucleotide interconversion
ADMDC,Adenosylmethionine decarboxylase,Arginine and proline metabolism
ADNCYC,Adenylate cyclase,Nucleotide interconversion
ADNK1m,"Adenosine kinase, mitochondria",Nucleotide interconversion
ADNt,Adenosine facilated transport in cytosol,"Transport, extracellular"
ADNt4,Adenosine transport (Na/Adn cotransport),"Transport, extracellular"
ADNtl,Adenosine facilated transport from lysosome,"Transport, lysosomal"
ADNtm,"Equilibrative nucleoside transporter, mitochondrial","Transport, mitochondrial"
ADPMAN,ADPmannose diphosphatase,Nucleotide interconversion
ADPRIBt,ADPribose transport,"Transport, extracellular"
ADPtx,"ADP transporter, peroxisomal","Transport, peroxisomal"
ADRNCOAtx,Fatty acid intracellular transport,"Transport, peroxisomal"
ADRNCPT1,Carnitine O-palmitoyltransferase,Fatty acid oxidation
ADRNCPT2,Carnitine transferase,Fatty acid oxidation
ADRNCRNt,Transport into the mitochondria (carnitine),Fatty acid oxidation
ADRNLPVESSEC_1,Adrenaline Secretion via Secretory Vesicle (ATP Driven),"Transport, extracellular"
ADRNt,Fatty acid transport via diffusion,"Transport, extracellular"
ADSK,Adenylyl-sulfate kinase,Nucleotide interconversion
ADSL1r,Adenylsuccinate lyase,Nucleotide interconversion
ADSL2r,Adenylosuccinate lyase,Purine synthesis
AFLATOXINte,Xenobiotic transport,"Transport, extracellular"
AG13T16g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus",Keratan sulfate synthesis
AG13T17g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus",Keratan sulfate synthesis
AG13T18g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus",Keratan sulfate synthesis
AG13T1g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus",Keratan sulfate synthesis
AG13T2g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus",Keratan sulfate synthesis
AG13T3g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus",Keratan sulfate synthesis
AGMTm,Agmatinase (m),Arginine and proline metabolism
AGPAT1_1,1-Acylglycerol-3-Phosphate O-Acyltransferase 1,Triacylglycerol synthesis
AGTim,Alanine---glyoxylate aminotransferase,Alanine and aspartate metabolism
AGTix,"Alanine---glyoxylate aminotransferase, glyoxysome",Alanine and aspartate metabolism
AHANDROSTANGLCte,Glucuronidated compound transport,"Transport, extracellular"
AHANDROSTANGLCtr,Glucuronidated compound transport,"Transport, endoplasmic reticular"
AHCYStr,S-Adenosyl-L-homocysteine intracellular diffusion,"Transport, endoplasmic reticular"
AHEXASE2ly,"Beta-N-acetylhexosaminidase, lysosomal",N-glycan degradation
AHEXASEly,"Beta-N-acetylhexosaminidase, lysosomal",N-glycan degradation
AIRCr,Phosphoribosylaminoimidazole carboxylase,Purine synthesis
AKGDm,2-oxoglutarate dehydrogenase,Citric acid cycle
AKGMALtm,"Dicarboxylate/tricarboxylate carrier (mal:akg), mitochondrial","Transport, mitochondrial"
AKGt4_3,AKG transport via sodium symport,"Transport, extracellular"
AKGtp,AKG transporter  peroxisome,"Transport, peroxisomal"
AKR1C1,"Aldo-keto reductase family 1, member C1 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)",Steroid metabolism
AKR1C41,"Aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)",Bile acid synthesis
AKR1C42,"Aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)",Bile acid synthesis
AKR1D,"Aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)",Bile acid synthesis
AKR1D2,"Aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)",Bile acid synthesis
ALAASNNaEx,L-alanine/L-asparagine Na-dependent exchange (Ala-L in),"Transport, extracellular"
ALACYSNaEx,L-alanine/L-cysteine Na-dependent exchange (Ala-L in),"Transport, extracellular"
ALADGLNexR,L-alanine/glutamine reversible exchange,"Transport, extracellular"
ALADGLYexR,D-alanine/glycine reversible exchange,"Transport, extracellular"
ALAGLNexR,L-alanine/glutamine reversible exchange,"Transport, extracellular"
ALAGLNNaEx,L-alanine/L-glutamine Na-dependent exchange (Ala-L in),"Transport, extracellular"
ALAGLYexR,L-alanine/glycine reversible exchange,"Transport, extracellular"
ALASERNaEx,L-alanine/L-serine Na-dependent exchange (Ala-L in),"Transport, extracellular"
ALASm,5 aminolevulinate synthase,"Glycine, serine, alanine, and threonine metabolism"
ALAt4,Alanine-Sodium symporter,"Transport, extracellular"
ALATA_L,L-alanine transaminase,Glutamate metabolism
ALATHRNaEx,L-alanine/L-threonine Na-dependent exchange (Ala-L in),"Transport, extracellular"
ALAtN1,"Alanine transport (Na, H coupled)","Transport, extracellular"
ALCD21_D,"Alcohol dehydrogenase (D-1,2-propanediol)",Pyruvate metabolism
LCARS,"Lacaldehyde reductase (S-propane-1,2-diol forming)",Pyruvate metabolism
ALCD22_D,Alcohol dehydrogenase (D-lactaldehyde),Pyruvate metabolism
ALCD22_L,Alcohol dehydrogenase (L-lactaldehyde),Pyruvate metabolism
ALCD2x,Alcohol dehydrogenase (ethanol),Glycolysis/gluconeogenesis
ALCD2y,"Alcohol dehydrogenase (ethanol, NADP)",Glycolysis/gluconeogenesis
ALDD20x,"Aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)",Tryptophan metabolism
ALDD20xm,Aldehyde dehydrogenase  indole 3 acetaldehyde  NAD   mitochondrial,Tryptophan metabolism
ALDD21,"Aldehyde dehydrogenase (pristanal, NAD)",Fatty acid oxidation
ALDD2xm,Aldehyde dehydrogenase  acetylaldehyde  NAD   mitochondrial,Glycolysis/gluconeogenesis
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",Glycolysis/gluconeogenesis
ALDSTRNte,Aldosterone transport,"Transport, extracellular"
ALDSTRNtm,Aldosterone intracellular transport,"Transport, mitochondrial"
ALOX12,Arachidonate 12-lipoxygenase,Eicosanoid metabolism
ALOX15,Arachidonate 15-lipoxygenase,Eicosanoid metabolism
ALOX5,Arachidonate 5-lipoxygenase,Eicosanoid metabolism
ALOX52,Arachidonate 5-lipoxygenase,Eicosanoid metabolism
ALR2,Aldose reductase (methylglyoxal),Pyruvate metabolism
ALR3,Aldose reductase (acetol),Pyruvate metabolism
AMACR2p,Alpha-methylacyl-CoA racemase (reductase),Bile acid synthesis
AMACRp,Alpha-methylacyl-CoA racemase,Bile acid synthesis
AMCOXO,2-aminomuconate reductase,Tryptophan metabolism
