Gene_ID,Gene Name
12038,Bche
69923,Agk
67260,Cers4
71949,Cers5
76893,Cers2
545975,Cers3
241447,Cers6
93898,Cers1
54447,Asah2
76485,Glt8d1
68273,Pomgnt1
66435,Uggt2
67909,Galntl5
74782,Glt8d2
56375,B4galt4
654821,Gcnt7
16430,Stt3a
320011,Uggt1
330406,B4galnt3
108155,Ogt
26878,B3galt2
97884,B3galnt2
224143,Poglut1
68292,Stt3b
14422,B4galnt2
268510,Mgat5b
26877,B3galt1
171167,Fut10
14347,Fut7
330671,B4galnt4
381694,B3glct
208211,Alg1
14345,Fut4
73068,Fut11
71103,Glt6d1
67555,Mgat4d
97440,B3gnt9
56356,Gltp
238023,Hexdc
74577,Glb1l
20448,St6galnac4
241159,Neu4
14344,Fut2
71519,Cyp2u1
69590,Gpx8
71854,Dpep3
319446,Dpep2
56351,Ptges3
67053,Rpp14
224024,Scarf2
105349,Akr1c18
676527,Gm12248
98386,Lbr
17919,Myo5b
110611,Hdlbp
18145,Npc1
102294,Cyp4v3
57357,Srd5a3
27400,Hsd17b6
56348,Hsd17b12
114664,Hsd17b11
54325,Elovl1
12686,Elovl3
74559,Elovl7
57874,Hacd3
67044,Higd2a
30963,Hacd1
66775,Hacd4
70757,Hacd2
106529,Tecr
243078,Tecrl
328035,Fads6
60527,Fads3
66411,Tbcb
214663,Slc25a29
14187,Akr1b8
215015,Fam20b
238024,Fn3krp
74035,Nol9
63828,Fn3k
75578,Fggy
100503991,Acp4
235534,Pxylp1
101744,Acp7
331487,Uprt
319518,Pdpr
18452,P4ha2
18451,P4ha1
320452,P4ha3
67870,Enoph1
104923,Adi1
100328588,Il4i1b
14204,Il4i1
67712,Slc25a37
246696,Slc25a28
54384,Mtmr7
75454,Phpt1
219135,Mtmr6
209039,Tns2
103466,Nt5dc3
103199,Fig4
75769,Plppr5
329506,Ctdspl2
237523,Ptprq
72102,Dusp11
218232,Ptpdc1
227721,Plpp7
97287,Mtmr14
66865,Pmpca
101490,Inpp5f
74411,Plpp6
83493,Sacm1l
67881,Mdp1
17330,Minpp1
217837,Itpk1
227733,Pip5kl1
22262,Uox
241452,Dhrs9
20148,Dhrs3
791260,Tomt
107585,Dio3
13371,Dio2
13370,Dio1
56362,Sult1b1
69083,Sult1c2
52064,Coq5
69188,Kmt2e
231051,Kmt2c
233904,Setd1a
20937,Suv39h1
208266,Dot1l
75410,Kmt2b
107823,Nsd2
225888,Kmt5b
192195,Ash1l
214162,Kmt2a
232811,Kmt5c
239122,Setdb2
208043,Setd1b
84505,Setdb1
73251,Setd7
234135,Nsd3
64707,Suv39h2
18193,Nsd1
381022,Kmt2d
74729,Setmar
77683,Ehmt1
235626,Setd2
67956,Kmt5a
69726,Smyd3
110147,Ehmt2
69019,Spcs1
66624,Spcs2
76687,Spcs3
56529,Sec11a
66286,Sec11c
57170,Dolpp1
107895,Mgat5
67569,Mgat4c
69675,Pxdn
227399,Ppip5k2
327655,Ppip5k1
225913,Tkfc
70974,Pgm2l1
67935,Ces5a
13909,Ces3b
382053,Ces3a
104158,Ces1d
109791,Clps
67473,Slc47a1
380701,Slc47a2
75750,Slc10a6
20521,Slc22a12
235386,Hykk
66065,Hsd17b14
71412,Dhrs2
53415,Htatip2
234309,Cbr4
13016,Ctbp1
69772,Bdh2
70061,Sdr9c7
436008,Gm5737
74032,Sdr42e1
80707,Wwox
67861,Akr1b10
320981,Enpp6
72947,Phykpl
76768,Alpi
11650,Alppl2
330962,Slc51b
106407,Slc51a
94215,Ugt2a1
72094,Ugt2a3
269823,Pon3
22273,Uqcrc1
66576,Uqcrh
17711,CYTB
66152,Uqcr10
66594,Uqcr11
67003,Uqcrc2
66694,Uqcrfs1
66445,Cyc1
22272,Uqcrq
67530,Uqcrb
20523,Slc25a14
22229,Ucp3
22228,Ucp2
74011,Slc25a27
66218,Ndufb9
226646,Ndufs2
227197,Ndufs1
67130,Ndufa6
66414,Ndufa12
66495,Ndufb3
68194,Ndufb4
100041273,Ndufb4c
100042503,Ndufb4b
407785,Ndufs6
68197,Ndufc2
66091,Ndufa3
54405,Ndufa1
75406,Ndufs7
225887,Ndufs8
230075,Ndufb6
66377,Ndufc1
67273,Ndufa10
595136,Ndufs5
68342,Ndufb10
17718,ND3
80286,Tusc3
68349,Ndufs3
17722,ND6
17720,ND4L
102631912,Ndufb1-ps
66416,Ndufa7
17995,Ndufv1
68202,Ndufa5
17719,ND4
17992,Ndufa4
67184,Ndufa13
67264,Ndufb8
66108,Ndufa9
69875,Ndufa11
66046,Ndufb5
17993,Ndufs4
66916,Ndufb7
17717,ND2
17991,Ndufa2
68375,Ndufa8
68198,Ndufb2
17716,ND1
78330,Ndufv3
70316,Ndufab1
72900,Ndufv2
17721,ND5
104130,Ndufb11
12868,Cox8a
12866,Cox7a2
12859,Cox5b
12857,Cox4i1
75483,Cox8c
20463,Cox7a2l
12867,Cox7c
17708,COX1
66142,Cox7b
12862,Cox6a2
12864,Cox6c
17709,COX2
12858,Cox5a
333182,Cox6b2
17710,COX3
78174,Cox7b2
12865,Cox7a1
110323,Cox6b1
84682,Cox4i2
12861,Cox6a1
268756,Gulo
58865,Tdh
11950,Atp5pb
11951,Atp5g1
11957,Atp5j
11958,Atp5k
18195,Nsf
27425,Atp5l
57423,Atp5j2
71679,Atp5h
228033,Atp5g3
67942,Atp5g2
11946,Atp5a1
11947,Atp5b
11949,Atp5c1
66043,Atp5d
67126,Atp5e
68055,Dmac2l
28080,Atp5o
26464,Vnn3
22361,Vnn1
225326,Pik3c3
67292,Pigc
56176,Pigp
110417,Pigh
18700,Piga
14755,Pigq
140494,Atp6v0a4
114143,Atp6v0b
11984,Atp6v0c
11974,Atp6v0e
242341,Atp6v0d2
11972,Atp6v0d1
11975,Atp6v0a1
27060,Tcirg1
21871,Atp6v0a2
73834,Atp6v1d
66144,Atp6v1f
11973,Atp6v1e1
68775,Atp6v1c2
11964,Atp6v1a
108664,Atp6v1h
66290,Atp6v1g1
11966,Atp6v1b2
338375,Atp6v1g3
110935,Atp6v1b1
74915,Atp6v1e2
66237,Atp6v1g2
66335,Atp6v1c1
