mets,mets_name,genes,rxns,subsystems
56dthm[c],"5,6-Dihydrothymine",,LYStm,"Transport, mitochondrial"
thym[c],Thymine,,HMR_2986,Fatty acid synthesis
M00869[c],"3-Oxoeicosa-Cis,Cis,Cis-11,14,17-Trienoyl Coenzyme A",,HMR_7720,"Transport, lysosomal"
s7p[c],Sedoheptulose 7-Phosphate,,HMR_1331,"Transport, endoplasmic reticular"
M00172[m],(S)-3-Hydroxy-7-Hexadecenoyl Coenzyme A,,r2127,"Transport, extracellular"
cyan[c],Hydrogen Cyanide,,C161CPT2,Fatty acid oxidation
CE5162[c],"Trans,Cis-2,9-Octadecadienoyl Coenzyme A",,GGH_10FTHF7GLUl,Folate metabolism
M01456[r],"Cholest-5-En-3Beta-Yl (11Z,14Z-Eicosadienoate)",,BIOCYTtn,"Transport, nuclear"
dcholcoa[c],Chenodeoxycholoyl Coenzyme A,,HMR_2715,"Transport, mitochondrial"
M02052[r],Heneicosanoyl Coenzyme A,,SUBERICACT,Fatty acid oxidation
hdcecrn[m],Palmitoleoyl-Carnitine,,UDPGD,Starch and sucrose metabolism
dolp__L[c],Dolichyl Phosphate,,PI345P5P,Inositol phosphate metabolism
itp[e],Iinosine-5-Triphosphate,,r2109,"Transport, extracellular"
5aop[m],5-Amino-4-Oxopentanoate,,ABUTt2rL,"Transport, lysosomal"
1pyr5c[m],1-Pyrroline-5-Carboxylate,,CARN1819Zt_m,"Transport, mitochondrial"
adrnl[e],Adrenaline,,HMR_0380,"Transport, extracellular"
3mgcoa[m],Trans-3-Methylglutaconyl Coenzyme A,,THYMDt1,"Transport, extracellular"
CE4801[m],"3(S)-Hydroxy-4(R),8-Dimethyl-Nonanoyl Coenzyme A",,HMR_1745,"Transport, mitochondrial"
M00010[e],"11Z,14Z,17Z-Eicosatrienoic Acid",,r0688,Bile acid synthesis
thymd[e],Thymidine,,RE3243C,Fatty acid synthesis
dhcholestanate[c],"3Alpha,7Alpha-Dihydroxy-5Beta-Cholestanate",,HMR_2289,Fatty acid synthesis
n2m2nmn[l],Reducing GlcNac Removed Form Of N2M2Nmasn (W/O Peptide),,GGH_5DHFl,Folate metabolism
arachd[e],Arachidonate,,HMR_3447,Fatty acid synthesis
M01724[c],Docosanoylcarnitine,,AHEXASE2ly,N-glycan degradation
udpxyl[r],Uridine-5-Diphosphate-Alpha-D-Xylose,,SERHL,"Glycine, serine, alanine, and threonine metabolism"
sarcs[m],Sarcosine,,DGTPtn,"Transport, nuclear"
f26bp[c],"Beta-D-Fructofuranose 2,6-Bisphosphate",,HMR_0327,Fatty acid synthesis
acmanap[c],N-Acetyl-D-Mannosamine 6-Phosphate,,HMR_2190,Fatty acid synthesis
M02611[m],Nonadecanoylcarnitine,,PCHOLLINL_HSABCt,"Transport, extracellular"
ficytC[m],Ferricytochrome C,,r0361,Fructose and mannose metabolism
focytC[m],Ferrocytochrome C,,PIt8,"Transport, extracellular"
5aop[c],5-Amino-4-Oxopentanoate,,GGH_10FTHF6GLUe,Folate metabolism
dgmp[m],Dgmp,,RE3346C,Bile acid synthesis
Rtotal[e],R Total,,GMPtn,"Transport, nuclear"
gluala[e],5-L-Glutamyl-L-Alanine,,S6T3g,Keratan sulfate synthesis
apoC_Lys_btn[c],Holocarboxylase (Biotin Covalent Bound To Lys Residue Of Apoc),,PPAm,Oxidative phosphorylation
pchol2ole_hs[c],2-Oleoylglycerophosphocholine,,RSVtu,Drug metabolism
q10[c],Ubiquinone-10,,ADSS,Nucleotide interconversion
M01497[r],Cholesterol-Ester-Hexecose,,HMR_3655,Cholesterol metabolism
M00615[c],25(R)Tetrahca Coenzyme A,,PRASCSi,Purine synthesis
fe2[e],Iron (Fe2+),,r2219,"Transport, extracellular"
fe3[e],Iron (Fe3+),,HMR_2703,"Transport, mitochondrial"
M02613[e],Nonadecanoic Acid,,RE3268R_1,Phosphatidylinositol phosphate metabolism
ru5p__D[r],D-Ribulose 5-Phosphate,,HMR_3423,Fatty acid oxidation
2dr5p[c],2-Deoxy-D-Ribose 5-Phosphate,,HMR_4124,Aminosugar metabolism
ksii_core4_deg1[l],"Keratan Sulfate Ii (Core 4-Linked), Degradation Product 1",,SMS14,Glycerophospholipid metabolism
atvlac[c],atorvastatin-lactone,,ENGASE2ly,N-glycan degradation
atvlac[e],atorvastatin-lactone,,HMR_3656,Cholesterol metabolism
prostge1[e],Prostaglandin E1,,HMR_0234,Fatty acid oxidation
M00019[r],13Z-Octadecenoic Acid,,HMR_2977,Fatty acid synthesis
Ser_Gly_Ala_X_Gly[r],Protein-Linked Serine Residue (Glycosaminoglycan Attachment Site),,SARDHm,Urea cycle
ppbng[c],Porphobilinogen,,r1810,"Transport, extracellular"
oxa[e],Oxalate,,PFK26,Fructose and mannose metabolism
pi[n],Orthophosphate,,r2199,"Transport, extracellular"
hdca[e],Hexadecanoate (N-C16:0),,CITRtm,"Transport, mitochondrial"
chol[m],Choline,,UMPK4n,Nucleotide interconversion
digalsgalside_hs[e],Digalactosylceramidesulfate,,FAOXC181C181OHm,Fatty acid oxidation
ibcoa[m],Isobutyryl Coenzyme A,,R_group_phosphotase_2,Miscellaneous
ppp9[c],Protoporphyrin,,PI4PLC,Inositol phosphate metabolism
so3[m],Sulfite,,PMI12346PS,Inositol phosphate metabolism
M00315[e],"12Z,15Z,18Z,21Z-Tetracosatetraenoic Acid",,r2119,"Transport, extracellular"
CE2243[c],(2E)-Eicosenoyl Coenzyme A,,r1168,Miscellaneous
tststerone[r],Testosterone,,EICOSTETCRNt,Fatty acid oxidation
datp[m],Deoxyadenosine Triphosphate,,HMR_3204,Fatty acid oxidation
dadp[m],Deoxyadenosine Diphosphate,,r0408,Miscellaneous
ibup__R[c],ibuprofen-R,,HMR_2695,"Transport, mitochondrial"
hexdiac[c],Hexadecanediocacid,,C4CRNCPT2,Fatty acid oxidation
dlnlcg[c],Dihomo-Gamma-Linolenate,,FAOXC2252053m,Fatty acid oxidation
ibup__S[c],ibuprofen-S,,NTD9,Nucleotide interconversion
tmndnccrn[c],"5Z,8Z,11Z,14Z,17Z-Eicosapentaenoylcarnitine",,AMANK,Aminosugar metabolism
ala__D[e],D-Alanine,,HMR_2677,"Transport, mitochondrial"
ala__D[c],D-Alanine,,PHEACGLYtm,"Transport, mitochondrial"
HC02206[e],Prostaglandin-C1,,LCAT45e,Cholesterol metabolism
HC02206[c],Prostaglandin-C1,,CYOR_u10mi,Oxidative phosphorylation
dttp[m],Deoxythymidine-5-Triphosphate,,5AOPtm,Heme synthesis
dchac[c],Deoxycholate,,PVSOATPtu,Drug metabolism
dca3s[c],Deoxycholic acid 3-sulfate,,RE3193M,Fatty acid oxidation
cmp[r],Cytidine 5-Monophosphate,,NDPK3,Nucleotide interconversion
cdpchol[r],Cytidine-5-Diphosphatecholine,,HMR_2699,Fatty acid oxidation
sphmyln_hs[r],Sphingomyelin,,HMR_3232,Fatty acid oxidation
acnam[e],N-Acetylneuraminate,,r2497,"Transport, peroxisomal"
ala_B[e],Beta-Alanine,,DGNSKm,Nucleotide interconversion
dcyt[m],Deoxycytidine,,FBP26,Fructose and mannose metabolism
dcmp[m],Deoxycytidylic Acid,,HMR_2359,Fatty acid synthesis
val__L[e],L-Valine,,CYTK11n,Nucleotide interconversion
lneldc[c],Linoelaidic Acid (All Trans C18:2),,RE3301C_1,Glycerophospholipid metabolism
7dhcdchol[c],7-Dehydrochenodeoxycholic acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid,,OLEETH,Glycerophospholipid metabolism
7dhcdchol[e],7-Dehydrochenodeoxycholic acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid,,HMR_1735,Bile acid synthesis
tdchola[e],Taurochenodeoxycholate,,HMR_2727,"Transport, mitochondrial"
tdchola[c],Taurochenodeoxycholate,,HMR_3183,Fatty acid oxidation
pcrn[e],O-Propanoylcarnitine,,RE1516M,Fatty acid oxidation
7dhchsterol[e],"Cholesta-5,7-Dien-3Beta-Ol",,r1792,"Transport, extracellular"
gchola[e],Glycocholate,,CHOLESTle_1,"Transport, extracellular"
taur[x],Taurine,,HMR_0354,Fatty acid oxidation
tdchola[x],Taurochenodeoxycholate,,RE3015R,Eicosanoid metabolism
Rtotal3[e],R Total 3 Position,,HMR_3718,Cholesterol metabolism
glyc[e],Glycerol,,EX_gluala_e,Exchange/demand reaction
HC00005[e],ApoB100,,EX_glcr_e,Exchange/demand reaction
HC00009[e],ApoE,,DLNLCGCPT1,Fatty acid oxidation
idl_hs[e],Intermediate Density Lipoprotein,,LCAT42e,Cholesterol metabolism
cyst__L[c],L-Cystathionine,,r2128,"Transport, extracellular"
ocdca[e],Octadecanoate (N-C18:0),,PLA2_2,Glycerophospholipid metabolism
C05770[c],Coproporphyrin Iii,,GLUPRT,Purine synthesis
core6[g],Core 6,,BTNPL,Biotin metabolism
pail_hs[n],1-Phosphatidyl-1D-Myo-Inositol,,RE3005M,Fatty acid oxidation
pail5p_hs[n],1-Phosphatidyl-1D-Myo-Inositol 5-Phosphate,,PCHOLHEP_HSABCt,"Transport, extracellular"
camp[g],"3,5-Cyclic Adenosine Monophosphate",,HMR_3222,Fatty acid oxidation
amp[g],Adenosine Monophosphate,,PE203_HSABCt,"Transport, extracellular"
C02528[c],Chenodeoxycholate,,OCD11COACPT1_1,Fatty acid oxidation
C02528[e],Chenodeoxycholate,,PCHOL2OLE_HSPLA2,Glycerophospholipid metabolism
dcdp[m],Deoxycytidine-5-Diphosphate,,EX_HC01700_e,Exchange/demand reaction
normete__L[e],L-Normetanephrine,,LCAT1e,Fatty acid oxidation
so4[e],Sulfate,,FE2utm,"Transport, mitochondrial"
maltttr[c],Maltotetraose,,SIAASE3ly,Keratan sulfate degradation
xoldiolone[r],"7Alpha,12Alpha-Dihydroxycholest-4-En-3-One",,ORNt3m,"Transport, mitochondrial"
M03153[e],17Z-Hexacosenoic Acid,,q10tm,"Transport, mitochondrial"
fru[e],D-Fructose,,HMR_0809,Glycosphingolipid metabolism
sphmyln_hs[e],Sphingomyelin,,HMR_2676,"Transport, mitochondrial"
12HPET[c],"12-Hydroperoxyeicosa-5,8,10,14-tetraenoate",,HMR_3719,Cholesterol metabolism
HC02220[e],Sulfochenodeoxycholate,,HMR_1754,Bile acid synthesis
HC02220[c],Sulfochenodeoxycholate,,HMR_2685,"Transport, mitochondrial"
ala__L[x],L-Alanine,,RE1517M,Fatty acid oxidation
hpyr[x],3-Hydroxypyruvate,,APRTO2,Arginine and proline metabolism
ser__L[x],L-Serine,,FE3R2e_1,Heme synthesis
atvacid[r],atorvastatin-acid,,RE3232C,Fatty acid synthesis
atvethgluc[r],atorvastatin-ether-glucuronide -G1,,HMR_0278,"Transport, extracellular"
ile__L[m],L-Isoleucine,,r2514m,"Transport, mitochondrial"
aprgstrn[c],(20S)-20-Hydroxypregn-4-En-3-One,,HMR_0437,Fatty acid synthesis
aprgstrn[e],(20S)-20-Hydroxypregn-4-En-3-One,,r1893,"Transport, extracellular"
pail45p_hs[n],"Phosphatidylinositol 4,5-Bisphosphate",,PItg,"Transport, golgi apparatus"
pail345p_hs[n],"1-Phosphatidyl-1D-Myo-Inositol 3,4,5-Trisphosphate",,GTHOm,Glutamate metabolism
CE5021[c],Alpha-Tocopheryl Hydroquinone,,r2131,"Transport, extracellular"
CE5022[c],Alpha-Tocopheryl Quinone,,PPNCL2,CoA synthesis
mescoa[m],Mesaconyl Coenzyme A,,SMS8,Glycerophospholipid metabolism
melatn[c],Melatonin,,r0311,Fatty acid oxidation
HC02198[e],Sulfotaurolithocholate,,IPDDIx,Cholesterol metabolism
HC02198[c],Sulfotaurolithocholate,,ST8SIA52g,Sphingolipid metabolism
HC01842[c],Phosphodimethylethanolamine,,CLPNDCRNt,Fatty acid oxidation
pydx5p[c],Pyridoxal 5-Phosphate,,GNDer,Pentose phosphate pathway
pydx[c],Pyridoxal,,LCAT43e,Cholesterol metabolism
kynate[c],Kynurenic Acid,,DRPA,Pentose phosphate pathway
icdchol[c],"Isochenodeoxycholic acid; 3beta,7alpha-Dihydroxy-5beta-cholanic acid",,RE3476C,Arachidonic acid metabolism
icdchol[e],"Isochenodeoxycholic acid; 3beta,7alpha-Dihydroxy-5beta-cholanic acid",,GLCtly,"Transport, lysosomal"
estradiolglc[e],17Beta-Estradiol 3-Glucosiduronic Acid,,HMR_2768,Fatty acid oxidation
estradiolglc[c],17Beta-Estradiol 3-Glucosiduronic Acid,,HMR_3699,Cholesterol metabolism
35cgmp[g],"3,5-Cyclic Guanosine Monophosphate",,HMR_3729,Cholesterol metabolism
malt[e],Maltose,,FTHFDH,Folate metabolism
3m4hpga[m],3-Methoxy-4-Hydroxyphenylglycolaldehyde,,GDR,Glutathione metabolism
3mox4hoxm[m],3-Methoxy-4-Hydroxymandelate,,SIAASE4ly,Keratan sulfate degradation
o2[n],Oxygen,,ALDD20xm,Tryptophan metabolism
gchola[c],Glycocholate,,HMR_2982,Fatty acid synthesis
andrstndn[c],"Androst-4-Ene-3,17-Dione",,HMR_3237,Fatty acid oxidation
clpndcoa[x],"Docosa-7,10,13,16,19-All-Cis-Pentaenoyl Coenzyme A",,NACHEX24ly,Keratan sulfate degradation
HC00591[m],2-Oxoglutaramate,,S3T1g,Chondroitin synthesis
HC02199[c],Glutathionyl-Leuc4,,HMR_2380,Fatty acid synthesis
HC02199[e],Glutathionyl-Leuc4,,HMR_0267,Fatty acid synthesis
HC02194[e],Ursodeoxycholate,,SCPx,Bile acid synthesis
HC02194[c],Ursodeoxycholate,,ATVLACThc,Drug metabolism
crtsl[r],Cortisol,,PROSTGE1t3,"Transport, extracellular"
cortsn[r],Cortisone,,NDPK6,Nucleotide interconversion
pchol_hs[g],Phosphatidylcholine,,ACNAM9PL,Aminosugar metabolism
4tmeabutn[e],4-(Trimethylammonio)Butanoate,,r2092,"Transport, extracellular"
urate[c],Urate,,EX_peplys_e,Exchange/demand reaction
c8crn[x],Octanoyl Carnitine,,HMR_2962,Fatty acid synthesis
ach[e],Acetylcholine,,ACSm,Glycolysis/gluconeogenesis
glx[x],Glyoxylate,,HMR_3721,Cholesterol metabolism
2mop[c],2-Methyl-3-Oxopropanoate,,ACOAD1fm,Butanoate metabolism
acald[r],Acetaldehyde,,XYLTer,Chondroitin synthesis
17ahprgstrn[r],17Alpha-Hydroxyprogesterone,,r2123,"Transport, extracellular"
tchola[e],Taurocholic acid,,GCALDDm,Glyoxylate and dicarboxylate metabolism
tchola[c],Taurocholic acid,,HMBS,Heme synthesis
gdca3s[c],Glycodeoxycholic acid 3-sulfate,,EX_oxa_e,Exchange/demand reaction
gdca3s[e],Glycodeoxycholic acid 3-sulfate,,HMR_3727,Cholesterol metabolism
tag_hs[e],Triglyceride,,HMR_2701,"Transport, mitochondrial"
C05769[c],Coproporphyrin I,,HMR_1759,"Transport, peroxisomal"
C05769[e],Coproporphyrin I,,PMI12346PHn,Inositol phosphate metabolism
thyochol[c],"Taurohyocholic acid; N-(3alpha,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oyl)taurine",,LCAT55e,Cholesterol metabolism
thyochol[e],"Taurohyocholic acid; N-(3alpha,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oyl)taurine",,HMR_3701,Cholesterol metabolism
prostge2[e],Prostaglandin E2,,FATP1t,"Transport, extracellular"
lnlnca[c],Alpha-Linolenate,,CTPS2,Pyrimidine synthesis
retinal_cis_13[r],13-Cis-Retinal,,RE3010M,Eicosanoid metabolism
CE5586[c],Dehydrospermidine,,APOC_LYS_BTNP,Biotin metabolism
hLkynr[c],3-Hydroxy-L-Kynurenine,,SPHGNtr,"Transport, endoplasmic reticular"
HC02191[c],Lithocholate,,r1668,"Transport, extracellular"
3dhlchol[c],3-dehydro-Lithocholate,,HMR_2974,Fatty acid synthesis
M01197[e],7Z-Hexadecenoic Acid,,HMR_1758,"Transport, peroxisomal"
glyc[c],Glycerol,,GGH_5THFe,Folate metabolism
udca3s[c],Ursodeoxycholic acid 3-sulfate,,S6TASE25ly,Keratan sulfate degradation
udca3s[e],Ursodeoxycholic acid 3-sulfate,,ADRNCPT2,Fatty acid oxidation
dcsptn1[c],"(4Z,7Z,10Z,13Z,16Z)-Docosa-4,7,10,13,16-Pentaenoic Acid",,PCHOLPm_hs,Glycerophospholipid metabolism
mma[e],Methylammonium,,TTDCRNt,Fatty acid oxidation
tettet6[e],"9Z,12Z,15Z,18Z-Tetracosatetraenoic Acid",,EX_10fthf7glu_e,Exchange/demand reaction
tdechola[c],Taurodeoxycholic Acid,,r0310,Fatty acid oxidation
tdechola[e],Taurodeoxycholic Acid,,RE3114R,Fatty acid oxidation
3hanthrn[c],3-Hydroxyanthranilate,,ATP2ter,"Transport, endoplasmic reticular"
cmusa[c],"Cis,Cis-2-Amino-3-(3-Oxoprop-1-Enyl)But-2-Enedioate",,DIGALSGALSIDEATPte,"Transport, extracellular"
itaccoa[m],Itaconyl Coenzyme A,,MLTG1ly,Starch and sucrose metabolism
ddca[e],Dodecanoic Acid,,r1830,"Transport, extracellular"
ha_pre1[e],"Hyaluronan Biosynthesis, Precursor 1",,HMR_3199,Fatty acid oxidation
HC00319[c],Malonate,,EX_octa_e,Exchange/demand reaction
HC00319[m],Malonate,,ACOAD9m,"Valine, leucine, and isoleucine metabolism"
hdcea[e],Hexadecenoate (N-C16:1),,HMR_2886,"Transport, endoplasmic reticular"
HC02197[e],Sulfoglycolithocholate,,PPPGO2_1,Heme synthesis
HC02197[c],Sulfoglycolithocholate,,GALt1r,"Transport, extracellular"
HC02195[e],Tauroursodeoxycholate,,r0830,"Transport, mitochondrial"
HC02195[c],Tauroursodeoxycholate,,FBA,Glycolysis/gluconeogenesis
mi14p[n],"(1R,2R,3R,4R,5R,6S)-2,3,5,6-Tetrahydroxy-4-(Phosphonatooxy)Cyclohexyl Phosphate",,LPS,Triacylglycerol synthesis
pail4p_hs[n],1-Phosphatidyl-1D-Myo-Inositol 4-Phosphate,,HMR_0395,"Transport, extracellular"
2oxoadp[c],2-Oxoadipate,,GALTg,Chondroitin synthesis
galside_hs[c],D-Galactosyl-N-Acylsphingosine,,HMR_3221,Fatty acid oxidation
xol7aone[r],7Alpha-Hydroxycholest-4-En-3-One,,r0364,Aminosugar metabolism
5HPET[e],5(S)-Hydroperoxyeicosatetraenoic Acid,,HMR_3698,Cholesterol metabolism
C09642[c],(-)-Salsolinol,,RE0568C,Fatty acid synthesis
CE4890[c],N-Methylsalsolinol,,FACOAE120,Fatty acid oxidation
urea[c],Urea,,HMR_3707,Cholesterol metabolism
coprost[c],Coprostanol,,HMR_3202,Fatty acid oxidation
coprost[e],Coprostanol,,UMPK7,Nucleotide interconversion
prostgf2[c],Prostaglandin F2Alpha,,RE2624M,Fatty acid oxidation
CE5151[x],11Z-Eicosenoyl Coenzyme A,,ASPDt6,"Transport, extracellular"
CE5150[x],"Trans,Cis-2,11-Eicosadienoyl Coenzyme A",,HMR_2772,"Transport, mitochondrial"
ptvst[r],pitavastatin,,STRDNCCPT2,Fatty acid oxidation
occoa[x],Octanoyl Coenzyme A (N-C8:0 Coenzyme A),,DGK2m,Nucleotide interconversion
HC01415[x],(2E)-Octenoyl Coenzyme A,,RE1534M,Fatty acid oxidation
4hglusa[m],L-4-Hydroxyglutamic Semialdehyde,,G14T18g,Keratan sulfate synthesis
leuktrE4[c],Leukotriene E4,,GLYCTO1,"Glycine, serine, alanine, and threonine metabolism"
leuktrF4[c],Leukotriene F4,,r1177,Miscellaneous
cholate[r],Cholate,,r1383_1,Folate metabolism
HC02192[c],Taurolithocholate,,FVSitx,Drug metabolism
atvlac[r],atorvastatin-lactone,,HMR_0828,Glycosphingolipid metabolism
h2o2[e],Hydrogen Peroxide,,PCHOL2OLE_HSABCt,"Transport, extracellular"
o2[e],Oxygen,,HMR_2972,Fatty acid synthesis
6thf[m],Hexaglutamyl Folate (Thf),,MI3PP,Inositol phosphate metabolism
7thf[m],Heptaglutamyl Folate (Thf),,HMR_2657,Fatty acid oxidation
adrn[e],Adrenic Acid,,EX_n2m2nmasn_e,Exchange/demand reaction
adrn[c],Adrenic Acid,,RE3192M,Fatty acid oxidation
HC02214[e],Prostaglandin-F1Alpha,,RE3121C,Fatty acid oxidation
HC02214[c],Prostaglandin-F1Alpha,,HMR_3722,Cholesterol metabolism
dhcholestanate[r],"3Alpha,7Alpha-Dihydroxy-5Beta-Cholestanate",,TMDK1,Nucleotide interconversion
dhcholestancoa[r],"3Alpha,7Alpha-Dihydroxy-5Beta-Cholestanoyl Coenzyme A",,PCHOLN2254_HSABCt,"Transport, extracellular"
gthrd[r],Reduced Glutathione,,HMR_3677,Cholesterol metabolism
sprm[c],Spermine,,UDPGLCAter,"Transport, endoplasmic reticular"
prostgh2[e],Prostaglandin H2,,EX_HC01577_e,Exchange/demand reaction
3dhlchol[e],3-dehydro-Lithocholate,,PROFVStev,Drug metabolism
Lkynr[c],L-Kynurenine,,PCHOLPALM_HSPLA2,Glycerophospholipid metabolism
adprib[c],Adenosine-5-Diphosphate-Ribose,,SPHMYLN18120_hs_ATPt,"Transport, extracellular"
3odcoa[m],3-Oxodecanoyl Coenzyme A,,HPDCACRNCPT1,Fatty acid oxidation
3hdcoa[m],(S)-3-Hydroxydecanoyl Coenzyme A,,r0210,Methionine and cysteine metabolism
dd5ecoa[m],5-Dodecenoyl Coenzyme A,,GTHPi,Glutathione metabolism
tetd7ecoa[m],7-Tetradecenoyl Coenzyme A,,HMR_2948,Fatty acid synthesis
pvs[r],pravastatin,,C10DCc,Fatty acid oxidation
3hpvs[r],3-S-hydroxy-pravastatin,,HEXDIACtr,Fatty acid oxidation
acac[x],Acetoacetate,,C161CPT12,Fatty acid oxidation
drib[c],2-Deoxy-D-Ribose,,HMR_1390,Eicosanoid metabolism
hdca[x],Hexadecanoate (N-C16:0),,CRNCARtp,"Transport, peroxisomal"
M02686[c],Pe-Nme-Ld-Pool,,SUBERCROT,Fatty acid oxidation
dcsptn1coa[x],"(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl Coenzyme A",,RE0567C,Fatty acid synthesis
HC02193[c],Glycolithocholate,,PPBNGS,Heme synthesis
hdca[l],Hexadecanoate (N-C16:0),,r1000,"Transport, endoplasmic reticular"
duri[n],Deoxyuridine,,FAOXC204184m,Fatty acid oxidation
adp[l],Adenosine Diphosphate,,LNLNCGCPT2,Fatty acid oxidation
atp[l],Adenosine Triphosphate,,GLCAT8g,Chondroitin synthesis
HC02210[e],Prostaglandin-D3,,HMR_2978,Fatty acid synthesis
HC02210[c],Prostaglandin-D3,,ACCOAC,Fatty acid oxidation
tcdca3s[c],Taurochenodeoxycholic acid 3-sulfate,,SIAT9g,Sphingolipid metabolism
tcdca3s[e],Taurochenodeoxycholic acid 3-sulfate,,HMR_3681,Cholesterol metabolism
cytd[n],Cytidine,,r1751,"Transport, extracellular"
xol27oh[r],27-Hydroxycholesterol,,SACCD3m,Lysine metabolism
gluside_hs[c],D-Glucosyl-N-Acylsphingosine,,HMR_0429,Fatty acid synthesis
12dhchol[c],"12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid",,GALASE17ly,Keratan sulfate degradation
12dhchol[e],"12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid",,RE3191M,Fatty acid oxidation
urate[e],Urate,,BTNDm,Biotin metabolism
3hddcoa[x],(S)-3-Hydroxydodecanoyl Coenzyme A,,r1672,"Transport, extracellular"
dd2coa[x],Trans-Dodec-2-Enoyl Coenzyme A,,34DHOXMANDte,"Transport, extracellular"
ahcys[r],S-Adenosyl-L-Homocysteine,,r2129,"Transport, extracellular"
amet[r],S-Adenosyl-L-Methionine,,HMR_4700,"Glycine, serine, alanine, and threonine metabolism"
h2o2[r],Hydrogen Peroxide,,r0579,CoA synthesis
fvs[r],fluvastatin,,TMNDNCCRNt,Fatty acid oxidation
btcoa[c],Butanoyl Coenzyme A,,EX_leuktrB4woh_e,Exchange/demand reaction
tmndnccoa[x],"Eicosa-5,8,11,14,17-All-Cis-Pentaenoyl Coenzyme A",,HPDCACRNt,Fatty acid oxidation
triodthysuf[c],Triiodothyronine Sulfate,,HMR_2722,"Transport, mitochondrial"
na1[x],Sodium,,r0173,Glycolysis/gluconeogenesis
13_cis_retn[r],13-Cis-Retinoate,,HMR_3660,Cholesterol metabolism
HC10858[m],3-Oxooleoyl Coenzyme A,,r2080,"Transport, extracellular"
inost[e],Myo-Inositol,,RE0944E,Starch and sucrose metabolism
dutp[n],Deoxyuridine-5-Triphosphate,,HMR_3628,Cholesterol metabolism
trdrd[n],Reduced Thioredoxin,,PCHOLN204_HSABCt,"Transport, extracellular"
trdox[n],Oxidized Thioredoxin,,ACACT10m,"Valine, leucine, and isoleucine metabolism"
dtdp[m],Deoxythymidine-5-Diphosphate,,HMR_3705,Cholesterol metabolism
strdnc[e],"Stearidonic Acid C18:4, N-3",,HMR_3665,Cholesterol metabolism
dag_hs[g],Diglyceride,,GGLUCT,Glutathione metabolism
M00019[e],13Z-Octadecenoic Acid,,HMR_0247,"Transport, extracellular"
5aop[e],5-Amino-4-Oxopentanoate,,GGNG,Starch and sucrose metabolism
M02112[x],17Z-Hexacosenoyl Coenzyme A,,EX_M01870_e,Exchange/demand reaction
duri[e],Deoxyuridine,,PPCDC,CoA synthesis
wharachd[e],W-Hydroxyl Arachidonic Acid,,DESAT18_12,Fatty acid synthesis
wharachd[c],W-Hydroxyl Arachidonic Acid,,HMR_3653,Cholesterol metabolism
pydxn[c],Pyridoxine,,HMR_2472,Fatty acid synthesis
3dhcdchol[c],3-Dehydrochenodeoxychollyc acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid,,r1834,"Transport, extracellular"
3dhcdchol[e],3-Dehydrochenodeoxychollyc acid; 7oxo-3alpha-hydroxy-5beta-cholan-24-oic acid,,r2097,"Transport, extracellular"
thcholstoic[e],"3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestanoate",,DALAt2r,"Transport, extracellular"
dudp[n],Deoxyuridine-5-Diphosphate,,ALATA_L,Glutamate metabolism
coa[l],Coenzyme A,,RE2717L,Glycosphingolipid metabolism
HC01405[m],3S-Hydroxy-Octanoyl Coenzyme A,,SERt4,"Transport, extracellular"
xol27oh[m],27-Hydroxycholesterol,,PHEyLATthc,"Transport, extracellular"
xol7aone[m],7Alpha-Hydroxycholest-4-En-3-One,,r2270,"Transport, extracellular"
tudca3s[c],Tauroursodeoxycholic acid 3-sulfate,,DNDPt45m,"Transport, mitochondrial"
tudca3s[e],Tauroursodeoxycholic acid 3-sulfate,,GALt4_2,"Transport, extracellular"
HC01406[m],3-Oxo-Octanoyl Coenzyme A,,r1686,"Transport, extracellular"
lvstacid[c],lovastatin-hydroxyacid form,,HMR_0763,Sphingolipid metabolism
lvst[c],lovastatin lactone form,,HXCOAtx,"Transport, peroxisomal"
uchol[c],"Ursocholic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholan-24-oic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholanic acid; 7beta-Hydroxyisocholic acid; 7-Epicholic acid",,BALAVECSEC_1,"Transport, extracellular"
uchol[e],"Ursocholic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholan-24-oic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholanic acid; 7beta-Hydroxyisocholic acid; 7-Epicholic acid",,ACOAHim,Pyruvate metabolism
17ahprgnlone[c],17Alpha-Hydroxypregnenolone,,DCK1m,Nucleotide interconversion
CE1352[c],17Alpha-Hydroxypregnenolone Sulfate,,r1864,"Transport, extracellular"
