"mouseID","mouseGene","humanGene","humanID"
107605,"Rdh1","RDH16",8608
107650,"Pi4kb","PI4KB",5298
107652,"Uap1","UAP1",6675
107723,"Slc12a6","SLC12A6",9990
107747,"Aldh1l1","ALDH1L1",10840
107766,"Haao","HAAO",23498
107823,"Whsc1","WHSC1",7468
107869,"Cth","CTH",1491
107885,"Mthfs","MTHFS",10588
107895,"Mgat5","MGAT5",4249
108037,"Shmt2","SHMT2",6472
108052,"Slc14a1","SLC14A1",6563
108083,"Pip4k2b","PIP4K2B",8396
108096,"Slco1a5","SLCO1A2",6579
108105,"B3gnt5","B3GNT5",84002
108114,"Slc22a7","SLC22A7",10864
108115,"Slco4a1","SLCO4A1",28231
108116,"Slco3a1","SLCO3A1",28232
108147,"Atic","ATIC",471
108148,"Galnt2","GALNT2",2590
108150,"Galnt7","GALNT7",51809
108155,"Ogt","OGT",8473
108156,"Mthfd1","MTHFD1",4522
108645,"Mat2b","MAT2B",27430
108664,"Atp6v1h","ATP6V1H",51606
108682,"Gpt2","GPT2",84706
108841,"Rdh13","RDH13",112724
108902,"B3gnt1","B3GNT1",11041
109264,"Me3","ME3",10873
109342,"Slc5a10","SLC5A10",125206
109652,"Acy1","ACY1",95
109674,"Ampd2","AMPD2",271
109685,"Hyal3","HYAL3",8372
109731,"Maob","MAOB",4129
109754,"Cyb5r3","CYB5R3",1727
109778,"Blvra","BLVRA",644
109785,"Pgm3","PGM3",5238
109801,"Glo1","GLO1",2739
109857,"Cbr3","CBR3",874
109900,"Asl","ASL",435
109959,"Amy2a5","AMY2B",280
110006,"Gusb","GUSB",2990
110074,"Dut","DUT",1854
110078,"Pygb","PYGB",5834
110095,"Pygl","PYGL",5836
110119,"Mpi","MPI",4351
110147,"Ehmt2","EHMT2",10919
110173,"Manba","MANBA",4126
110175,"Ggct","GGCT",79017
110196,"Fdps","FDPS",2224
110197,"Dgkg","DGKG",1608
110198,"Akr7a5","AKR7A2",8574
110208,"Pgd","PGD",5226
110323,"Cox6b1","COX6B1",1340
110385,"Pde4c","PDE4C",5143
110391,"Qdpr","QDPR",5860
110446,"Acat1","ACAT1",38
110460,"Acat2","ACAT2",39
110524,"Dgkq","DGKQ",1609
110611,"Hdlbp","HDLBP",3069
110639,"Prps2","PRPS2",5634
110695,"Aldh7a1","ALDH7A1",501
110826,"Etfb","ETFB",2109
110842,"Etfa","ETFA",2108
110855,"Pde6c","PDE6C",5146
110877,"Slc18a1","SLC18A1",6570
110891,"Slc8a2","SLC8A2",6543
110893,"Slc8a3","SLC8A3",6547
110895,"Slc9a4","SLC9A4",389015
110911,"Cds2","CDS2",8760
110935,"Atp6v1b1","ATP6V1B1",525
110948,"Hlcs","HLCS",3141
111175,"Pecr","PECR",55825
11303,"Abca1","ABCA1",19
11363,"Acadl","ACADL",33
11364,"Acadm","ACADM",34
11370,"Acadvl","ACADVL",37
11409,"Acads","ACADS",35
114143,"Atp6v0b","ATP6V0B",533
11416,"Slc33a1","SLC33A1",9197
11423,"Ache","ACHE",43
11428,"Aco1","ACO1",48
11429,"Aco2","ACO2",50
11430,"Acox1","ACOX1",51
114304,"Slc28a3","SLC28A3",64078
11431,"Acp1","ACP1",52
11432,"Acp2","ACP2",53
11433,"Acp5","ACP5",54
114479,"Slc5a5","SLC5A5",6528
114644,"Slc13a3","SLC13A3",64849
114663,"Impa2","IMPA2",3613
114664,"Hsd17b11","HSD17B11",51170
11486,"Ada","ADA",100
114863,"Prosc","PROSC",11212
114875,"Plcz1","PLCZ1",89869
11512,"Adcy6","ADCY6",112
11513,"Adcy7","ADCY7",113
11514,"Adcy8","ADCY8",114
11515,"Adcy9","ADCY9",115
11522,"Adh1","ADH1C",126
11529,"Adh7","ADH7",131
11532,"Adh5","ADH5",128
11534,"Adk","ADK",132
11564,"Adsl","ADSL",158
11565,"Adssl1","ADSSL1",122622
11566,"Adss","ADSS",159
11593,"Aga","AGA",175
11605,"Gla","GLA",2717
11611,"Agxt","AGXT",189
11628,"Aicda","AICDA",57379
11636,"Ak1","AK1",203
11637,"Ak2","AK2",204
11639,"Ak4","AK4",205
11647,"Alpl","ALPL",249
11648,"Akp3","ALPI",248
11655,"Alas1","ALAS1",211
11656,"Alas2","ALAS2",212
11666,"Abcd1","ABCD1",215
11668,"Aldh1a1","ALDH1A1",216
11669,"Aldh2","ALDH2",217
11670,"Aldh3a1","ALDH3A1",218
11671,"Aldh3a2","ALDH3A2",224
11674,"Aldoa","ALDOA",226
11676,"Aldoc","ALDOC",230
11677,"Akr1b3","AKR1B1",231
11684,"Alox12","ALOX12",239
11687,"Alox15","ALOX15",246
11688,"Alox8","ALOX15B",247
11689,"Alox5","ALOX5",240
116914,"Slc19a2","SLC19A2",10560
116939,"Pnpla3","PNPLA3",80339
11702,"Amd1","AMD1",262
117147,"Acsm1","ACSM1",116285
117150,"Pip4k2c","PIP4K2C",79837
11717,"Ampd3","AMPD3",272
11720,"Mat1a","MAT1A",4143
11722,"Amy1","AMY2A",279
11739,"Slc25a4","SLC25A4",291
11740,"Slc25a5","SLC25A5",292
11754,"Aoc3","AOC3",8639
11757,"Prdx3","PRDX3",10935
11758,"Prdx6","PRDX6",9588
117591,"Slc2a9","SLC2A9",56606
117592,"B3galt6","B3GALT6",126792
11761,"Aox1","AOX1",316
11770,"Fabp4","FABP4",2167
11816,"Apoe","APOE",348
11821,"Aprt","APRT",353
11826,"Aqp1","AQP1",358
11827,"Aqp2","AQP2",359
11828,"Aqp3","AQP3",360
11829,"Aqp4","AQP4",361
11830,"Aqp5","AQP5",362
11832,"Aqp7","AQP7",364
11833,"Aqp8","AQP8",343
11846,"Arg1","ARG1",383
11847,"Arg2","ARG2",384
11886,"Asah1","ASAH1",427
11898,"Ass1","ASS1",445
11928,"Atp1a1","ATP1A1",476
11931,"Atp1b1","ATP1B1",481
11932,"Atp1b2","ATP1B2",482
11933,"Atp1b3","ATP1B3",483
11941,"Atp2b2","ATP2B2",491
11944,"Atp4a","ATP4A",495
11945,"Atp4b","ATP4B",496
11946,"Atp5a1","ATP5A1",498
11947,"Atp5b","ATP5B",506
11949,"Atp5c1","ATP5C1",509
11950,"Atp5f1","ATP5F1",515
11951,"Atp5g1","ATP5G1",516
11957,"Atp5j","ATP5J",522
11958,"Atp5me","ATP5ME",521
11964,"Atp6v1a","ATP6V1A",523
11966,"Atp6v1b2","ATP6V1B2",526
11972,"Atp6v0d1","ATP6V0D1",9114
11973,"Atp6v1e1","ATP6V1E1",529
11974,"Atp6v0e","ATP6V0E1",8992
11975,"Atp6v0a1","ATP6V0A1",535
11980,"Atp8a1","ATP8A1",10396
11982,"Atp10a","ATP10A",57194
11984,"Atp6v0c","ATP6V0C",527
11987,"Slc7a1","SLC7A1",6541
11988,"Slc7a2","SLC7A2",6542
11989,"Slc7a3","SLC7A3",84889
11992,"Auh","AUH",549
12012,"Baat","BAAT",570
12035,"Bcat1","BCAT1",586
12036,"Bcat2","BCAT2",587
12038,"Bche","BCHE",590
12039,"Bckdha","BCKDHA",593
12040,"Bckdhb","BCKDHB",594
12091,"Glb1","GLB1",2720
12116,"Bhmt","BHMT",635
12140,"Fabp7","FABP7",2173
12183,"Bpgm","BPGM",669
12215,"Bsg","BSG",682
12319,"Car8","CA8",767
12346,"Car1","CA1",759
12349,"Car2","CA2",760
12350,"Car3","CA3",761
12351,"Car4","CA4",762
12352,"Car5a","CA5A",763
12353,"Car6","CA6",765
12354,"Car7","CA7",766
12359,"Cat","CAT",847
12408,"Cbr1","CBR1",873
12411,"Cbs","CBS",875
12491,"Cd36","CD36",948
12495,"Entpd1","ENTPD1",953
12496,"Entpd2","ENTPD2",954
12497,"Entpd6","ENTPD6",955
12499,"Entpd5","ENTPD5",957
12583,"Cdo1","CDO1",1036
12613,"Cel","CEL",1056
12642,"Ch25h","CH25H",9023
12647,"Chat","CHAT",1103
12651,"Chkb","CHKB",1120
12660,"Chka","CHKA",1119
12686,"Elovl3","ELOVL3",83401
12709,"Ckb","CKB",1152
12715,"Ckm","CKM",1158
12716,"Ckmt1","CKMT1B",1159
12764,"Cmas","CMAS",55907
12780,"Abcc2","ABCC2",1244
12846,"Comt","COMT",1312
12857,"Cox4i1","COX4I1",1327
12858,"Cox5a","COX5A",9377
12859,"Cox5b","COX5B",1329
12861,"Cox6a1","COX6A1",1337
12862,"Cox6a2","COX6A2",1339
12864,"Cox6c","COX6C",1345
12865,"Cox7a1","COX7A1",1346
12866,"Cox7a2","COX7A2",1347
12867,"Cox7c","COX7C",1350
12868,"Cox8a","COX8A",1351
12870,"Cp","CP",1356
12892,"Cpox","CPOX",1371
12894,"Cpt1a","CPT1A",1374
12895,"Cpt1b","CPT1B",1375
12896,"Cpt2","CPT2",1376
12908,"Crat","CRAT",1384
12934,"Dpysl2","DPYSL2",1808
12974,"Cs","CS",1431
13016,"Ctbp1","CTBP1",1487
13026,"Pcyt1a","PCYT1A",5130
13070,"Cyp11a1","CYP11A1",1583
13074,"Cyp17a1","CYP17A1",1586
13075,"Cyp19a1","CYP19A1",1588
13076,"Cyp1a1","CYP1A1",1543
13077,"Cyp1a2","CYP1A2",1544
13078,"Cyp1b1","CYP1B1",1545
13106,"Cyp2e1","CYP2E1",1571
13113,"Cyp3a13","CYP3A7",1551
13116,"Cyp46a1","CYP46A1",10858
13117,"Cyp4a10","CYP4A11",1579
13121,"Cyp51","CYP51A1",1595
13122,"Cyp7a1","CYP7A1",1581
13124,"Cyp8b1","CYP8B1",1582
13139,"Dgka","DGKA",1606
13142,"Dao","DAO",1610
13162,"Slc6a3","SLC6A3",6531
13166,"Dbh","DBH",1621
13167,"Dbi","DBI",1622
13171,"Dbt","DBT",1629
13177,"Eci1","ECI1",1632
13178,"Dck","DCK",1633
13180,"Pcbd1","PCBD1",5092
13195,"Ddc","DDC",1644
13244,"Degs1","DEGS1",8560
13340,"Slc29a2","SLC29A2",3177
13350,"Dgat1","DGAT1",8694
13358,"Slc25a1","SLC25A1",6576
13360,"Dhcr7","DHCR7",1717
13361,"Dhfr","DHFR",1719
13370,"Dio1","DIO1",1733
13371,"Dio2","DIO2",1734
13382,"Dld","DLD",1738
13479,"Dpep1","DPEP1",1800
13487,"Slc26a3","SLC26A3",1811
13521,"Slc26a2","SLC26A2",1836
13595,"Ebp","EBP",10682
13806,"Eno1","ENO1",2023
13807,"Eno2","ENO2",2026
13808,"Eno3","ENO3",2027
13861,"Epx","EPX",8288
13885,"Esd","ESD",2098
14042,"Ext1","EXT1",2131
14043,"Ext2","EXT2",2132
140483,"Hnmt","HNMT",3176
140494,"Atp6v0a4","ATP6V0A4",50617
14077,"Fabp3","FABP3",2170
14080,"Fabp1","FABP1",2168
14081,"Acsl1","ACSL1",2180
14085,"Fah","FAH",2184
140919,"Slc17a6","SLC17A6",57084
14104,"Fasn","FASN",2194
14120,"Fbp2","FBP2",8789
14121,"Fbp1","FBP1",2203
14137,"Fdft1","FDFT1",2222
14151,"Fech","FECH",2235
14187,"Akr1b8","AKR1B10",57016
14194,"Fh1","FH",2271
14204,"Il4i1","IL4I1",259307
14245,"Lpin1","LPIN1",23175
142681,"Slc34a3","SLC34A3",142680
14275,"Folr1","FOLR1",2348
14276,"Folr2","FOLR2",2350
14287,"Fpgs","FPGS",2356
14317,"Ftcd","FTCD",10841
14319,"Fth1","FTH1",2495
14325,"Ftl1","FTL",2512
14345,"Fut4","FUT4",2526
14347,"Fut7","FUT7",2529
14348,"Fut9","FUT9",10690
14377,"G6pc","G6PC",2538
14378,"G6pc2","G6PC2",57818
14381,"G6pdx","G6PD",2539
14385,"Slc37a4","SLC37A4",2542
14387,"Gaa","GAA",2548
14411,"Slc6a12","SLC6A12",6539
14412,"Slc6a13","SLC6A13",6540
14415,"Gad1","GAD1",2571
14417,"Gad2","GAD2",2572
14420,"Galc","GALC",2581
14421,"B4galnt1","B4GALNT1",2583
14422,"B4galnt2","B4GALNT2",124872
14423,"Galnt1","GALNT1",2589
14425,"Galnt3","GALNT3",2591
14426,"Galnt4","GALNT4",8693
14430,"Galt","GALT",2592
14431,"Gamt","GAMT",2593
14433,"Gapdh","GAPDH",2597
14447,"Gapdhs","GAPDHS",26330
14450,"Gart","GART",2618
14466,"Gba","GBA",2629
14537,"Gcnt1","GCNT1",2650
14544,"Gda","GDA",9615
14555,"Gpd1","GPD1",2819
14571,"Gpd2","GPD2",2820
14583,"Gfpt1","GFPT1",2673
14584,"Gfpt2","GFPT2",9945
14590,"Ggh","GGH",8836
14593,"Ggps1","GGPS1",9453
14595,"B4galt1","B4GALT1",2683
14598,"Ggt1","GGT1",2678
14626,"Gk2","GK2",2712
14629,"Gclc","GCLC",2729
14630,"Gclm","GCLM",2730
14635,"Galk1","GALK1",2584
14645,"Glul","GLUL",2752
14651,"Hagh","HAGH",3029
14660,"Gls","GLS",2744
14661,"Glud1","GLUD1",2746
14664,"Slc6a9","SLC6A9",6536
14667,"Gm2a","GM2A",2760
14711,"Gnmt","GNMT",27232
14718,"Got1","GOT1",2805
14719,"Got2","GOT2",2806
14732,"Gpam","GPAM",57678
14751,"Gpi1","GPI",2821
14775,"Gpx1","GPX1",2876
14776,"Gpx2","GPX2",2877
14778,"Gpx3","GPX3",2878
14780,"Gpx5","GPX5",2880
14782,"Gsr","GSR",2936
14854,"Gss","GSS",2937
14874,"Gstz1","GSTZ1",2954
14913,"Guca1a","GUCA1A",2978
14917,"Gucy2c","GUCY2C",2984
14919,"Gucy2e","GUCY2D",3000
14923,"Guk1","GUK1",2987
14933,"Gk","GK",2710
14936,"Gys1","GYS1",2997
14979,"H2-Ke6","HSD17B8",7923
15107,"Hadh","HADH",3033
15108,"Hsd17b10","HSD17B10",3028
15109,"Hal","HAL",3034
15112,"Hao1","HAO1",54363
15116,"Has1","HAS1",3036
15117,"Has2","HAS2",3037
15118,"Has3","HAS3",3038
15186,"Hdc","HDC",3067
15203,"Heph","HEPH",9843
15211,"Hexa","HEXA",3073
15212,"Hexb","HEXB",3074
15233,"Hgd","HGD",3081
15275,"Hk1","HK1",3098
15277,"Hk2","HK2",3099
15288,"Hmbs","HMBS",3145
15356,"Hmgcl","HMGCL",3155
15357,"Hmgcr","HMGCR",3156
15360,"Hmgcs2","HMGCS2",3158
15368,"Hmox1","HMOX1",3162
15369,"Hmox2","HMOX2",3163
15445,"Hpd","HPD",3242
15450,"Lipc","LIPC",3990
15452,"Hprt","HPRT1",3251
15476,"Hs3st1","HS3ST1",9957
15478,"Hs3st3a1","HS3ST3A1",9955
15483,"Hsd11b1","HSD11B1",3290
15484,"Hsd11b2","HSD11B2",3291
15485,"Hsd17b1","HSD17B1",3292
15486,"Hsd17b2","HSD17B2",3294
15487,"Hsd17b3","HSD17B3",3293
15488,"Hsd17b4","HSD17B4",3295
15490,"Hsd17b7","HSD17B7",51478
15492,"Hsd3b1","HSD3B2",3284
15493,"Hsd3b2","HSD3B1",3283
15494,"Hsd3b3","HSD3B1",3283
15497,"Hsd3b6","HSD3B1",3283
15531,"Ndst1","NDST1",3340
15567,"Slc6a4","SLC6A4",6532
15926,"Idh1","IDH1",3417
15929,"Idh3g","IDH3G",3421
15930,"Ido1","IDO1",3620
16204,"Fabp6","FABP6",2172
16329,"Inpp1","INPP1",3628
16330,"Inpp5b","INPP5B",3633
16331,"Inpp5d","INPP5D",3635
16332,"Inppl1","INPPL1",3636
16430,"Stt3a","STT3A",3703
16434,"Itpa","ITPA",3704
16514,"Kcnj11","KCNJ11",3767
16523,"Kcnj8","KCNJ8",3764
16548,"Khk","KHK",3795
16591,"Kl","KL",9365
16592,"Fabp5","FABP5",2171
16770,"Lalba","LALBA",3906
16790,"Anpep","ANPEP",290
16816,"Lcat","LCAT",3931
16828,"Ldha","LDHA",3939
16832,"Ldhb","LDHB",3945
16833,"Ldhc","LDHC",3948
16889,"Lipa","LIPA",3988
16890,"Lipe","LIPE",3991
16891,"Lipg","LIPG",9388
16922,"Phyh","PHYH",5264
16956,"Lpl","LPL",4023
16987,"Lss","LSS",4047
16993,"Lta4h","LTA4H",4048
17001,"Ltc4s","LTC4S",4056
17025,"Alad","ALAD",210
170439,"Elovl6","ELOVL6",79071
170441,"Slc2a10","SLC2A10",81031
170442,"Bbox1","BBOX1",8424
170716,"Cyp4f13","CYP4F3",4051
170718,"Idh3b","IDH3B",3420
170768,"Pfkfb3","PFKFB3",5209
170789,"Acot8","ACOT8",10005
170835,"Inpp5j","INPP5J",27124
171167,"Fut10","FUT10",84750
171168,"Acer1","ACER1",125981
17117,"Amacr","AMACR",23600
171210,"Acot2","ACOT2",10965
171212,"Galnt10","GALNT10",55568
171281,"Acot3","ACOT1",641371
171282,"Acot4","ACOT4",122970
171405,"Slc22a27","SLC22A25",387601
171429,"Slc26a6","SLC26A6",65010
171567,"Nme7","NME7",29922
17159,"Man2b1","MAN2B1",4125
17161,"Maoa","MAOA",4128
17250,"Abcc1","ABCC1",4363
17252,"Rdh11","RDH11",51109
17254,"Slc3a2","SLC3A2",6520
17330,"Minpp1","MINPP1",9562
17339,"Mip","MIP",4284
17423,"Ndst2","NDST2",8509
17436,"Me1","ME1",4199
17448,"Mdh2","MDH2",4191
17449,"Mdh1","MDH1",4190
17708,"COX1","COX1",4512
17709,"COX2","COX2",4513
17710,"COX3","COX3",4514
17711,"CYTB","CYTB",4519
17716,"ND1","ND1",4535
17717,"ND2","ND2",4536
17718,"ND3","ND3",4537
17719,"ND4","ND4",4538
17720,"ND4L","ND4L",4539
17721,"ND5","ND5",4540
17722,"ND6","ND6",4541
17768,"Mthfd2","MTHFD2",10797
17769,"Mthfr","MTHFR",4524
17850,"Mut","MUT",4594
17855,"Mvk","MVK",4598
17919,"Myo5b","MYO5B",4645
17939,"Naga","NAGA",4668
17991,"Ndufa2","NDUFA2",4695
17992,"Ndufa4","NDUFA4",4697
17993,"Ndufs4","NDUFS4",4724
17995,"Ndufv1","NDUFV1",4723
18010,"Neu1","NEU1",4758
18102,"Nme1","NME1",4830
18103,"Nme2","NME2",4831
18104,"Nqo1","NQO1",1728
18115,"Nnt","NNT",23530
18125,"Nos1","NOS1",4842
18126,"Nos2","NOS2",4843
18127,"Nos3","NOS3",4846
18145,"Npc1","NPC1",4864
18160,"Npr1","NPR1",4881
18174,"Slc11a2","SLC11A2",4891
18193,"Nsd1","NSD1",64324
18194,"Nsdhl","NSDHL",50814
18195,"Nsf","NSF",4905
18242,"Oat","OAT",4942
18263,"Odc1","ODC1",4953
18293,"Ogdh","OGDH",4967
18399,"Slc22a6","SLC22A6",9356
18408,"Slc25a15","SLC25A15",10166
18416,"Otc","OTC",5009
18451,"P4ha1","P4HA1",5033
18452,"P4ha2","P4HA2",8974
18472,"Pafah1b1","PAFAH1B1",5048
18475,"Pafah1b2","PAFAH1B2",5049
18476,"Pafah1b3","PAFAH1B3",5050
18477,"Prdx1","PRDX1",5052
18478,"Pah","PAH",5053
18534,"Pck1","PCK1",5105
18563,"Pcx","PC",5091
18573,"Pde1a","PDE1A",5136
18574,"Pde1b","PDE1B",5153
18575,"Pde1c","PDE1C",5137
18576,"Pde3b","PDE3B",5140
18577,"Pde4a","PDE4A",5141
18578,"Pde4b","PDE4B",5142
18582,"Pde6d","PDE6D",5147
18583,"Pde7a","PDE7A",5150
18584,"Pde8a","PDE8A",5151
18585,"Pde9a","PDE9A",5152
18587,"Pde6b","PDE6B",5158
18588,"Pde6g","PDE6G",5148
18597,"Pdha1","PDHA1",5160
18598,"Pdha2","PDHA2",5161
18605,"Enpp1","ENPP1",5167
18606,"Enpp2","ENPP2",5168
18618,"Pemt","PEMT",10400
18639,"Pfkfb1","PFKFB1",5207
18640,"Pfkfb2","PFKFB2",5208
18641,"Pfkl","PFKL",5211
18642,"Pfkm","PFKM",5213
18648,"Pgam1","PGAM1",5223
18655,"Pgk1","PGK1",5230
18663,"Pgk2","PGK2",5232
18669,"Abcb1b","ABCB1",5243
18670,"Abcb4","ABCB4",5244
18675,"Phex","PHEX",5251
18704,"Pik3c2a","PIK3C2A",5286
18705,"Pik3c2g","PIK3C2G",5288
18706,"Pik3ca","PIK3CA",5290
18707,"Pik3cd","PIK3CD",5293
18708,"Pik3r1","PIK3R1",5295
18709,"Pik3r2","PIK3R2",5296
18710,"Pik3r3","PIK3R3",8503
18711,"Pikfyve","PIKFYVE",200576
18717,"Pip5k1c","PIP5K1C",23396
18718,"Pip4k2a","PIP4K2A",5305
18719,"Pip5k1b","PIP5K1B",8395
18720,"Pip5k1a","PIP5K1A",8394
18746,"Pkm","PKM",5315
18770,"Pklr","PKLR",5313
18778,"Pla2g1b","PLA2G1B",5319
18780,"Pla2g2a","PLA2G2A",5320
18782,"Pla2g2d","PLA2G2D",26279
18783,"Pla2g4a","PLA2G4A",5321
18784,"Pla2g5","PLA2G5",5322
18795,"Plcb1","PLCB1",23236
18796,"Plcb2","PLCB2",5330
18797,"Plcb3","PLCB3",5331
18798,"Plcb4","PLCB4",5332
18799,"Plcd1","PLCD1",5333
18802,"Plcd4","PLCD4",84812
18803,"Plcg1","PLCG1",5335
18805,"Pld1","PLD1",5337
18806,"Pld2","PLD2",5338
18807,"Pld3","PLD3",23646
18946,"Pnliprp1","PNLIPRP1",5407
18947,"Pnliprp2","PNLIPRP2",5408
18948,"Pnmt","PNMT",5409
18950,"Pnp","PNP",4860
19012,"Plpp1","PLPP1",8611
19025,"Ctsa","CTSA",5476
19044,"Ppox","PPOX",5498
19063,"Ppt1","PPT1",5538
19125,"Prodh","LOC102724788",102724788
19139,"Prps1","PRPS1",5631
19156,"Psap","PSAP",5660
19193,"Pipox","PIPOX",51268
19210,"Ptdss1","PTDSS1",9791
19211,"Pten","PTEN",5728
19215,"Ptgds","PTGDS",5730
192156,"Mvd","MVD",4597
192166,"Sardh","SARDH",1757
192185,"Nadk","NADK",65220
192195,"Ash1l","ASH1L",55870
19224,"Ptgs1","PTGS1",5742
19225,"Ptgs2","PTGS2",5743
192289,"Tmlhe","TMLHE",55217
19299,"Abcd3","ABCD3",5825
19309,"Pygm","PYGM",5837
19378,"Aldh1a2","ALDH1A2",8854
194908,"Pld6","PLD6",201164
195646,"Hs3st2","HS3ST2",9956
19682,"Rdh5","RDH5",5959
19683,"Rdh16","RDH16",8608
19703,"Renbp","RENBP",5973
19743,"Rhag","RHAG",6005
19879,"Slc22a8","SLC22A8",9376
19895,"Rpia","RPIA",22934
20133,"Rrm1","RRM1",6240
20135,"Rrm2","RRM2",6241
20216,"Acsm3","ACSM3",6296
20229,"Sat1","SAT1",6303
20249,"Scd1","SCD",6319
20280,"Scp2","SCP2",6342
20322,"Sord","SORD",6652
20397,"Sgpl1","SGPL1",8879
20425,"Shmt1","SHMT1",6470
20442,"St3gal1","ST3GAL1",6482
20443,"St3gal4","ST3GAL4",6484
20444,"St3gal2","ST3GAL2",6483
20446,"St6galnac2","ST6GALNAC2",10610
20447,"St6galnac3","ST6GALNAC3",256435
20448,"St6galnac4","ST6GALNAC4",27090
20449,"St8sia1","ST8SIA1",6489
20454,"St3gal5","ST3GAL5",8869
20463,"Cox7a2l","COX7A2L",9167
20493,"Slc10a1","SLC10A1",6554
20494,"Slc10a2","SLC10A2",6555
20495,"Slc12a1","SLC12A1",6557
20496,"Slc12a2","SLC12A2",6558
20497,"Slc12a3","SLC12A3",6559
20498,"Slc12a4","SLC12A4",6560
20499,"Slc12a7","SLC12A7",10723
20500,"Slc13a2","SLC13A2",9058
20501,"Slc16a1","SLC16A1",6566
20502,"Slc16a2","SLC16A2",6567
20503,"Slc16a7","SLC16A7",9194
20504,"Slc17a1","SLC17A1",6568
20505,"Slc34a1","SLC34A1",6569
20508,"Slc18a3","SLC18A3",6572
20509,"Slc19a1","SLC19A1",6573
20510,"Slc1a1","SLC1A1",6505
20511,"Slc1a2","SLC1A2",6506
20512,"Slc1a3","SLC1A3",6507
20513,"Slc1a6","SLC1A6",6511
20514,"Slc1a5","SLC1A5",6510
20515,"Slc20a1","SLC20A1",6574
20516,"Slc20a2","SLC20A2",6575
20517,"Slc22a1","SLC22A1",6580
20518,"Slc22a2","SLC22A2",6582
20519,"Slc22a3","SLC22A3",6581
20520,"Slc22a5","SLC22A5",6584
20521,"Slc22a12","SLC22A12",116085
20522,"Slc23a1","SLC23A1",9963
20523,"Slc25a14","SLC25A14",9016
20524,"Slc25a17","SLC25A17",10478
20525,"Slc2a1","SLC2A1",6513
20526,"Slc2a2","SLC2A2",6514
20527,"Slc2a3","SLC2A3",6515
20528,"Slc2a4","SLC2A4",6517
20531,"Slc34a2","SLC34A2",10568
20532,"Slc3a1","SLC3A1",6519
20533,"Slc4a1","SLC4A1",6521
20535,"Slc4a2","SLC4A2",6522
20536,"Slc4a3","SLC4A3",6508
20537,"Slc5a1","SLC5A1",6523
20538,"Slc6a2","SLC6A2",6530
20539,"Slc7a5","SLC7A5",8140
20540,"Slc7a7","SLC7A7",9056
20541,"Slc8a1","SLC8A1",6546
20544,"Slc9a1","SLC9A1",6548
20597,"Smpd1","SMPD1",6609
20598,"Smpd2","SMPD2",6610
20603,"Sms","SMS",6611
20652,"Soat1","SOAT1",6646
20655,"Sod1","SOD1",6647
20656,"Sod2","SOD2",6648
20657,"Sod3","SOD3",6649
20698,"Sphk1","SPHK1",8877
